"Employer","CEO","CEO_Compensation","Median_Worker_Comp","Ratio","Company_Rating","CEO_Compensation_($000)"
"State Street","Joseph L. Hooley",18842196,50921,370,2.9,1884.2196
"Pepco Holdings","Joseph M. Rigby",7227146,83510,87,3.2,722.7146
"EMC","Joseph M. Tucci",11203318,116674,96,3.7,1120.3318
"Anthem","Joseph R. Swedish",13532549,74000,183,3.4,1353.2549
"Valero Energy","Joseph W. Gorder",16056949,77158,208,3.7,1605.6949
"Zoetis","Juan Ramn Alaix",7636726,114000,67,3.1,763.6726
"American Express","K.I. Chenault",22796083,108598,210,3.7,2279.6083
"Rockwell Automation","Keith D. Nosbusch",8473582,83739,101,3.7,847.3582
"Harley-Davidson","Keith E. Wandell",9183690,80833,114,3,918.369
"Masco","Keith J. Allman",4750833,61790,77,3.1,475.0833
"BB&T","Kelly S. King",14118763,45002,314,3.2,1411.8763
"General Mills","Kendall J. Powell",11604484,83273,139,3.5,1160.4484
"Merck","Kenneth C. Frazier",25029370,110183,227,3.2,2502.937
"Scripps Networks Interactive","Kenneth W. Lowe",11838015,77074,154,3.5,1183.8015
"DaVita","Kent J. Thiry",13791023,61000,226,3.1,1379.1023
"Stryker","Kevin A. Lobo",9120147,79045,115,3.9,912.0147
"Under Armour","Kevin A. Plank",3556190,36130,98,3.6,355.619
"SCANA","Kevin B. Marsh",5710448,71079,80,3.5,571.0448
"Kohl's","Kevin Mansell",9668796,23210,417,3.2,966.8796
"Fifth Third","Kevin T. Kabat",7427396,45945,162,3.2,742.7396
"Alcoa","Klaus-Christian Kleinfeld, Ph.D., rer. pol., Dipl.",18158522,70158,259,3.2,1815.8522
"Bristol-Myers Squibb","Lamberto Andreotti",27062382,123310,219,3.7,2706.2382
"Dr Pepper Snapple Group","Larry D. Young",9671181,50867,190,3.1,967.1181
"Principal Financial Group","Larry D. Zimpleman",16919388,67868,249,3.9,1691.9388
"CVS Health","Larry J. Merlo",32350733,27139,1192,2.7,3235.0733
"BlackRock","Laurence D. Fink",23862458,124361,192,3.6,2386.2458
"Pall","Lawrence D. Kingsley",9471578,88530,107,2.6,947.1578
"Oracle","Lawrence J. Ellison",67261251,117415,573,3.3,6726.1251
"Newfield Exploration","Lee K. Boothby",6716841,112337,60,3.1,671.6841
"Marathon Oil","Lee M. Tillman",11498067,119176,96,3,1149.8067
"Entergy","Leo P. Denault",11824034,77991,152,3.2,1182.4034
"Regeneron Pharma.","Leonard S. Schleifer",41965424,79332,529,3.8,4196.5424
"L Brands","Leslie H. Wexner",24094036,61260,393,3.6,2409.4036
"CBS Corp","Leslie Moonves",57175645,66365,862,3.5,5717.5645
"Goldman Sachs","Lloyd C. Blankfein",22162912,107205,207,3.8,2216.2912
"Linear Technology","Lothar Maier",6386772,102429,62,3.8,638.6772
"United Technologies","Louis R. Chenevert",27107982,85863,316,3.3,2710.7982
"Verizon","Lowell C. McAdam",18306509,88062,208,3.3,1830.6509
"Duke Energy","Lynn J. Good",8305351,78259,106,3.6,830.5351
"Ingersoll Rand","M. W. Lamach",19417506,74458,261,3.4,1941.7506
"Pitney Bowes","Marc B. Lautenbach",6966360,70647,99,3.2,696.636
